reviewId,content,score
d8621cfd-d005-4f9e-ab9b-e37273949401,good,5
8a622047-40e1-42e8-8a61-a5da313bab5b,dana sangat bagus,4
c144ae14-09fb-4d53-bd4e-e9bd1310cea5,mantap sangat membantu financial,5
262eb4a6-0f84-4c38-8f2a-4fabdae93c8d,sangat baik,5
262c3d49-429b-4910-bbff-df3cbb87979a,jozzz,4
e37babde-3f9f-4ce6-a352-4858ee2df369,bagus,5
d6ddb8a6-499f-48dd-a9d9-d0fcb4e026ae,maaamtap tolong yang ter hormat dana cicil saya aktipin dong...knapa g aktip....?,5
1dac52d2-9dbc-4ee7-97ef-7977bb97b424,sangat membantu transaksi,5
02e839c9-70fc-437c-a7a2-4bc0c27ea286,bagus ga bikin ribet,5
1e9e969a-43a2-4fa6-ac26-33f9ae134145,oky,5
e5123489-bb61-4da1-9a68-0a4a7fd49f42,kenapa ko fitur dana cicil tidak ada padahal sudah premium,3
aafb0c02-28f3-4ae1-9694-a2700ec38a8c,"sudah masuk kan sandi yang benar dan sudah verifikasi wajah juga sudah. tetap meminta kode otp, padahal nomor sudah tidak aktif. trus minta otp lewat email, tetapi email terdaftar dan meminta otp berbeda . aneh aplikasi terlalu banyak boot dan tidak sesuai seperti awal",1
75e3999d-5a85-42c5-9c35-280d565bc092,bagus,4
53ab4b48-fd2a-4dfc-a9e5-9969ad8db265,mohon dibantu akun dana ini sedang ada gendala mau login akun Tac bisa dibuka akun sedang dibekukan,1
86c4806a-027d-4339-b9b0-8c2e1b1384e5,apk jelek,1
a149ba8f-38b6-4edb-9a15-8c5f61a24126,top,5
fcbca884-5239-4b54-94cd-e35a984749b7,saya sangat menyukainya,5
b2de516b-140d-4575-b463-eb5c4a8efd33,"SALDO SAYA HILANG DENGN NOMINAL 1,150000 DAN CS DANA TIDAK MAU BERTANGGUNG JAWAB ATAS KASUS INI",2
144c3957-2e07-486b-b90c-ecf6b5f76954,mantap,5
65108274-ea56-4821-852b-a905e197ddd0,aman dan nyaman,5
c16a9c8d-eed1-4a20-acff-4fda64d3406e,keren,5
163abbfd-e6d4-4d8a-92d8-34fc107e91d7,tolong saya kesulitan untuk masuk meskipun sudah pake verifikasi wajah dan KTP tetap tidak bisa harus menggunakan kode otp email dan WhatsApp sedangkan hp saya telah di curi solusinya bagaimana?,5
f40d7e93-568e-40d5-b940-66b90f2fba86,jaringan terputus padahal jaringan nya bagus,5
a1a141f0-e9f2-40ba-b531-287bf8277c15,saya ingin refund,4
7a1c5eef-f572-4d21-8d6a-e5c0f476143a,MEMBANTU SEKALI BUAT YG BELUM PUNYA REKENING!!,5
4c134167-1a63-4274-997a-01f26827bda2,sangat membantu,3
08dbac86-3562-40c7-8340-319fa585aa6a,sangat membantu,5
749aaa43-ddf4-4aec-a3de-c091512026a2,saya sangat senang dengan adanya aplikasi dana,5
9640f4e5-f7e5-489d-8781-1a96807549c0,keren👍,5
ae22abad-f5e7-421e-9ccc-bd462b9b6bc5,"ngeselin banget katanya dikasih voucher tp gabisa digunakan, mau laporan ke pusat bantuan jawabannya muter2, malah pusat bantuannya tidak bisa dibuka, php banget gimana sih dana",1
585f29fc-e2dc-4126-a74d-7cccc9ce451a,sangat baik,5
e81e1eca-b300-4dc2-b83d-fb97da8f2777,tolong bantu fitur dana instan saya knp gk muncul,4
fd8e7cae-04ee-4017-9032-0d46c7195066,oke,5
d3595d0d-e77a-419c-85e9-4d7417c26e7c,terbaik,5
13cdd72d-f219-4d61-a755-120c0224c5d7,sangat bagus,5
763235f8-6607-4ce4-961f-5ea37e07a067,mudah dan cepat,5
d27e9587-04b8-4370-9b37-9d019c99c176,oke,5
c0217cdc-5be0-4e18-bf65-bea48306b6c4,mantap,5
69796479-fe97-4ddb-a3d9-6ca9172cd37b,🤮🤮,1
04630f90-5eb0-4b09-824d-9c888643d2b2,sangt mbantu,5
822be2f1-0c87-49af-8f48-85e255debc44,hy makasih pihak dana,5
23e8b74e-8d30-421d-bd2d-e9e8eabe6ae8,"akun saya dibekukan tidak bisa bertransaksi karena beda data saat pengajuan perubahan nomor dan saat upgrade ke dana premium,di dalamnya masih ada saldonya, bikin pengaduan kesini kesitu gak ada solusinya sama sekali, dana emang parah pertanyaan nya mutaer"" disitu Mulu gak ngasih solusi sama sekali",1
9c83867b-a081-40e4-9de8-4e92b83962aa,sangat bagus,5
d47df465-8c76-4ef3-9b7b-8f7c8ab4e765,aplikasi Ter aman,5
8d37fd2c-7e9b-420b-b0f1-bf56b36eeff2,aplikasi ini sangat menguntungkan karna bisa mempermudah proses keuangan,5
7a63d5ce-69d6-429e-9fcb-b8b4e08bf748,saya tau ini kesalahan saya karna nomor saya mati saya juga sudah minta bantuan ke dana dan saya juga sudah mengikuti semua prosedur yg ada tapi kenapa saldo dana saya tetap tidak di kembalikan ke nomor yg baru,1
0a18bcf5-8d76-480d-ad12-ad84bccb7de8,"gimana sih ini akun udah beberapa tahun gak digunakan padahal nomor hp masih aktif,lupa pin dan verifikasi wajah gagal wajar karena saya membuat akun dari kecil belum punya KTP sewaktu dulu terakhir kenapa gak bisa verifikasi melalui otp padahal aplikasi sebelah ada jangan mempersulit pengguna gua doain semoga cepat bangkrut gak salah saya pindah ke aplikasi seperti shopeepay, ovo dan gopay karena merasa lebih aman",1
d2b8cce2-2aea-464e-951b-68171bfd22a0,ok,5
5d541dae-0f86-4abc-9a19-f1facc10212b,"bagus sih aplikasinya lancar, nah tapi ada 1 kendala waktu kirim uang ke rekening bank, kenapa ga bisa ya? padahal akun dana saya sudah premium, tapi setiap kali kirim uang ke rekening bank gabisa alasannya ""koneksi jaringan gagal, coba lagi"" padahal wifi rumah saya aman aman aja, intinya koneksi saya aman aman aja udah saya coba lagi tapi tetep gabisa. udah saya coba juga berulang kali tetep aja gabisa. ini gimana ya?",4
43be059e-5b7b-4747-92c8-740221614893,ok mantap,5
090d2d20-0cff-4515-a53e-940897aecfff,saya ingin hapus data teransaksi dana,5
3f0d1698-a25e-4d2b-91ed-94b02ecfe5ef,y kurang aman,3
29cafb25-f082-4a26-8ac9-348080bb16f2,"tidak tau kenapa tiba"" saldo sy hilang padahal tidak ada transaksi apa"" langganan apapun juga gak pernah, itu uang buat beli token listrik, gonduk jengkel pengin ngamuk tp sm siapa..yasudahlah mudah""n yg ambil uangku kena karma usahanya hancur rejekinya seret.",1
da852140-a3cc-4e3a-aab4-b1bd84dfece2,bagus mantap,5
3717349f-cc0a-4977-8e0a-3197fc7f8fe7,saldo tiba² kepotong sendiri padahal ga transaksi apa apa di chat cs malah otomatis ga bisa ngetik sendiri aplikasi naeh,1
5a980b99-37ec-4394-ba43-d316fa833f5e,lebih mudah untuk transaki di manapun,5
b4574baf-d05d-40d4-aa97-7d7249795f98,sangat mudah,5
a075cda8-4010-4c06-80b8-eb3212fc8110,good apk,5
85ab14d8-7a0a-43f3-9497-00614844f423,knp g masuk terus... nyusahin,1
dd9d73b2-e0c2-4215-930e-16801068595c,lambat transaksi,5
3a2b44bd-fe37-4fc0-92ed-8f6e2f783ff9,good,5
f7f3c72c-95cb-478f-b9bd-afb17a329196,"sangat membatu sekali dengan ada nya aplikasi Dana, terimakasih.👍👍👍🙏",5
4663f40f-6835-417a-92ea-5af8f5e10241,mudah tranfer kemana saja pakai aplikasi dana,5
0fe40266-fd3e-4de1-a204-b9742dacaa37,mantap,5
aafb7105-a06a-4365-8470-e5d41a09c125,aplikasi busuk.. minta upgrade malah ga bisa dipakai,1
a3ba0a80-e04d-4f23-9bc4-89ea99a55f67,jos lh,5
b344582c-6f2c-411c-8557-9850cb8a5ceb,"mau upgrade ke premium tp tdk ada KTP dan jg SIM,,apa lagi paspor..bagaimana caranya?",5
512a1211-90f3-4ce5-836c-2ec476edcb73,sangat bagus,5
6bfe0e62-1581-411b-91d1-5e90e387ff01,sangat baik dan trabsaksi cepat,5
83c3c0ef-7b4e-4f0b-a0a4-4e6361bc54dd,mantap,5
1d09158f-bfd4-410f-b7f0-006de1fe1ce6,bgus,5
f252b3bd-9fa7-41e4-86e9-c4b3d6989658,semoga berkah,5
0b4902bf-4053-45f4-a648-07cc507a192c,terbaik,5
3b7ac32d-90a1-4b88-b295-5e25e90a7cdc,EWALLET TAII,1
64ac8041-eb14-4f11-8092-024635b03926,"aplikasi ini memang membantu saya tentang transaksi, tapi.. dalam minggu ini saya mengalami masalah di pembelian token dan pulsa,, . tidak bisa kebuka layanan nya. tapi isi saldo atau kirim uang tidak ada masalah. tolong bantuan dan saran nya,",4
2d3c3aa8-52c2-4f48-91f5-2e09e137d86f,gabisa buka riwayat transaksi,3
3f740ad7-8ad0-40ff-a122-51d57962b577,bagus tapi kenapa setelah sy unisntal tapi sy download LG gak bisa2,5
5478fca9-f322-4c2a-bc3a-893980ab23f4,mudah dan terpercaya,5
4aee940d-5dc1-4f70-b481-0a744eb7c32a,sangat membantu,5
cb849168-ccd1-4c82-9030-8dbae693832e,"apasih anjir udah di upgrade ke dana premium masih gak bisa di akses fiturnya kalo gk bisa knp dibikin coba, benerin dlu itu codingannya",3
832bb246-2ae4-4149-8b6f-0d81c1bf0ce2,qku kasih bintang 5 biar bisa daftar dana masa daftar gak bisa bisa,5
4e8cd7af-f907-4be8-b874-dc169edf843c,mantap,5
70a96f17-49b4-4147-b5e9-b17618d7d65f,the best,5
2a485241-ef84-489d-a80e-e97dc7a085fd,mantap,5
4a899aa9-407e-4057-a15b-c699d7a27203,bagus,5
3fc290df-681b-4af8-b3d9-6fe2d683d085,A+,5
d6d2abf9-c0fa-40e1-adec-8a825f897ee0,👍,5
45165f9e-ff1f-491b-8707-bcd23eda301f,sangat memuaskan dan simpel,5
b0d4bb05-5049-446a-987b-5d772ddab58e,dana tidak masuk ke penerima,1
f629615a-5c47-4cd8-9512-802670b8e072,"sering transaksi pakai aplikasi ini, tapi kenapa paylater nya cuma cepe🥺 padahal sering banget transaksi pakai ini tolong tinggi limitnya",5
4870faa5-35f2-4b69-8bc8-48d58e0ef736,sangat bagus membantu sekali,5
d9e9ef4e-a841-4568-a461-7cd5e9ad001b,halo ini gimana. call center ga bisa di hubungi. udah pakai robot transaksi gagal saldo terpotong .,1
a12fb478-2f6d-4120-a07d-7705a152dba4,"transaksi top up berhasil, tapi uang belum masuk ke rekening DANA saya, mau chat ke CS selalu gagal kembalikan uang saya",1
f75acf3c-78ad-4bb6-b7bf-e2b45167aa6c,"Qris tidak bisa digunakan...admin dihubungi pun cuek ..ayolah ,sdh pake dana lama bnget ..jngan bikin muak bgni",1
a50ef83a-1fda-40e0-a7ff-3c43c39a9def,memudahkan untuk kirim uang yv tidak maw me ATM,4
f202240b-3773-4a07-886d-c3cd04f2b600,aplikasi ewallet yg simple .,5
47d0f060-8f0b-4002-993a-6e54b0fb68ac,susah masuk,1
bf8bbd54-e799-4f84-bbbb-bf64cd28119c,bagus,5
f4dbc55e-bfe4-4385-abfa-2ef39fa9f377,mantap,5
4860ae7a-e9b1-4f08-a46f-26ee6cbb57e2,jos,5
3e56e583-619a-406c-ad9d-00622ac5e473,bagaimana cara dapat pinjaman dari dana,5
6eee37a0-6280-4f16-ae79-0ab7d1255121,baik,5
c8336fef-2deb-4784-a6bf-f530cb689687,"kok sekarang top up ada potongan nya yah,,,di Alfamidi selalu bayar,,,ga ada yg gratis,GAK ADA DANA CICIL NYA TAPI KOK ADA PENAWARAN🙃",2
a09874ad-3b1f-47af-8df2-bec9c134015a,sangat membantu,5
4044e73e-4b83-4c8b-9957-4abc4b1f4063,baik,5
73ff4d68-5310-4fad-941b-31d42478f031,bagus sekalali,5
91b8afce-c9f5-4b43-bb9d-699e1079792d,sangat membantu,5
a426a6c3-4a5e-4ca2-9321-2a9410c9bea6,joossjiiss,5
ff984609-f760-41fd-a5f3-25d612afd225,sukaaaaaaaa bangeeeeetts 🥰🥰🥰🥰🥰🥰🥰🥰,5
c69ce827-8e4b-473d-bd19-95fccdfd8e53,sangat baik,4
c32955c2-5d93-4160-a4be-878020141a13,parah woi min kenapaa dana bisnis gw gk bisa di tarik disuruh ngisi formulir pas udah dikasih eh malah disuruh ngisi lagi udh saya ulng² ttp gak bisa ini gimana minn saldo dana bisnis saya mau saya tarik tpi mlh kyk gini,1
abe042f5-5313-4ccd-ba6c-6f946029acde,sangat membantu dan gampang.,5
af64e498-421a-487b-86e2-5f5c3e71ef7f,maantaap sekali,4
95b184a6-7fef-4eb0-8e3d-1feb718ee348,"josss,,cuma kalo boleh minta saldonya 1jt min🤣",5
2a79ad8f-8bc1-45cb-98b6-11ebbdf7fb0a,dana cicil tidak ada,5
1f5cab28-6e9d-444f-9088-0da4d22f0907,"Buat developer untuk menu aktivitas mohon ditambahkan (WIB,WITA dan WITA) khusus pengguna Dana di Indonesia",5
07e42e4f-1742-488e-b4db-3824427c97ad,Abis upgrade mlh Fitur Dana cicil nya Gak bisa di gunakan,3
7cc6f6ee-15f3-4839-ad65-f36a5e575d98,good,5
031d11ea-933f-4fba-aa88-9b18061aa4cd,lebih praktis,4
a20db125-9c12-4805-aa9f-6524a89876d8,sangat rekomendasi,5
91a88e07-afb0-437e-a8e9-3b7c79d089ad,baru main di kasih langsung,5
5582ef0e-3e9a-436d-b8ce-d44d7169ea99,mantap sy suka buanget aplikasi ini,5
d5fc4c4f-a815-4ab2-97b7-9e5656d3185b,mantap,5
341487b0-1096-4e12-9a98-ca4fa2f1404d,mantap,5
fd4c8b54-5144-4e43-9bd6-05a02ffda1c1,Pokoknya mantap lahhh,5
de391955-6605-4f35-8fa3-a49f062465c9,mudah utk penggunaan,5
4112d97a-39f4-42e8-b044-9d5750bbafc9,sangat setuju,4
b43c9869-3cf9-486d-8080-650926cb4a68,sangat bagus sekali,5
1d771f17-df7b-4fd6-a435-00cb27adb698,sangat membantu sekali,5
a8f5a765-f686-404d-bf5a-fafc2ba74b01,sya kasih bintang 5 karna mudah transaksi 👍👍👍👍,5
